Country,Country Code,Year,Level of Internet Penetration
Austria,AUT,2002,36.56
Austria,AUT,2003,42.7
Austria,AUT,2004,54.28
Austria,AUT,2005,58.0
Austria,AUT,2006,63.6
Austria,AUT,2007,69.37
Austria,AUT,2008,72.87
Austria,AUT,2009,73.45
Austria,AUT,2010,75.17
Austria,AUT,2011,78.74
Austria,AUT,2012,80.03
Austria,AUT,2013,80.6188
Austria,AUT,2014,80.9958
Austria,AUT,2015,83.9401
Austria,AUT,2016,84.3237
Austria,AUT,2017,87.9356
Austria,AUT,2018,87.4791
Austria,AUT,2019,87.7522
Austria,AUT,2020,87.5294
Austria,AUT,2021,92.5292
Austria,AUT,2022,93.6141
Austria,AUT,2023,95.3347
Belgium,BEL,2002,46.33
Belgium,BEL,2003,49.97
Belgium,BEL,2004,53.86
Belgium,BEL,2005,55.82
Belgium,BEL,2006,61.9819
Belgium,BEL,2007,66.7604
Belgium,BEL,2008,68.8573
Belgium,BEL,2009,74.5441
Belgium,BEL,2010,77.6398
Belgium,BEL,2011,81.61
Belgium,BEL,2012,80.72
Belgium,BEL,2013,82.1702
Belgium,BEL,2014,85.0012
Belgium,BEL,2015,85.0529
Belgium,BEL,2016,86.5165
Belgium,BEL,2017,87.6797
Belgium,BEL,2018,88.6473
Belgium,BEL,2019,90.2754
Belgium,BEL,2020,91.5264
Belgium,BEL,2021,92.7887
Belgium,BEL,2022,94.0078
Belgium,BEL,2023,94.6263
Bulgaria,BGR,2002,9.08
Bulgaria,BGR,2003,12.04
Bulgaria,BGR,2004,18.13
Bulgaria,BGR,2005,19.97
Bulgaria,BGR,2006,27.09
Bulgaria,BGR,2007,33.64
Bulgaria,BGR,2008,39.67
Bulgaria,BGR,2009,45.0
Bulgaria,BGR,2010,46.23
Bulgaria,BGR,2011,47.98
Bulgaria,BGR,2012,51.9
Bulgaria,BGR,2013,53.0615
Bulgaria,BGR,2014,55.4904
Bulgaria,BGR,2015,56.6563
Bulgaria,BGR,2016,59.8255
Bulgaria,BGR,2017,63.4101
Bulgaria,BGR,2018,64.782
Bulgaria,BGR,2019,67.947
Bulgaria,BGR,2020,70.1625
Bulgaria,BGR,2021,75.2714
Bulgaria,BGR,2022,79.1269
Bulgaria,BGR,2023,80.3896
Croatia,HRV,2002,17.76
Croatia,HRV,2003,22.75
Croatia,HRV,2004,30.91
Croatia,HRV,2005,33.14
Croatia,HRV,2006,37.98
Croatia,HRV,2007,41.44
